date,Ukraine,Russia,StandWithUkraine,Putin,UkraineRussiaWar,NATO,StopRussia,StopPutin,Russian,ukraine
Feb-23,3300,3058,440,2224,0,470,2,15,318,485
Feb-24,812373,314461,179946,239680,1253,59184,6612,13797,40905,39731
Feb-25,2206770,659808,647388,338973,4846,151971,32196,123700,65886,100248
Feb-26,2345772,585295,660822,310528,89957,105232,173115,163692,119131,131250
Feb-27,2195563,549506,560680,314656,257406,86367,121821,120799,154006,160405
Feb-28,1645522,423865,329716,226289,487234,69978,217143,210134,71293,96440
Mar-1,1556274,402347,346922,214579,510488,67966,236950,236860,57560,75501
Mar-2,1304224,415034,326594,199956,457085,49740,82810,86955,58795,80677
Mar-3,1126578,356885,237376,247517,276078,48362,53799,122478,55198,72268
Mar-4,1023753,287073,156840,406355,163207,75941,116743,304824,52163,73001
Mar-5,876501,275012,164737,191713,103417,65639,109180,113872,45254,63313
Mar-6,924149,297090,138199,240882,96683,54535,93995,128026,56304,49593
Mar-7,943847,284740,116011,129206,60545,40650,81573,49389,60399,44639
Mar-8,741920,242076,142642,107718,60269,45967,36716,37992,34165,38481
Mar-9,675299,214942,159348,87089,51512,52386,84527,42955,36490,34941
Mar-10,507188,201750,125502,77234,43790,26118,52743,29857,26670,27724
Mar-11,527414,189002,138131,78878,64617,35548,62269,42088,36429,32531
Mar-12,533857,168328,131937,68742,76859,29852,55559,28334,30708,29453
Mar-13,597592,166629,135565,69043,76419,37863,58987,55003,31563,24215
Mar-14,512837,167263,136253,62583,72517,32911,27779,32772,23443,26284
Mar-15,536553,178862,135061,90619,59864,39224,34303,30608,31141,24526
Mar-16,520452,156209,117637,75249,74478,39878,46363,23872,28664,22225
Mar-17,502499,153022,119971,78983,66909,26950,51748,17233,35364,20624
Mar-18,457627,181562,132007,97815,75477,25730,51639,29449,27310,23638
Mar-19,401024,156407,119694,80027,48431,26315,32085,39543,32913,24549
Mar-20,448450,161800,133680,72312,70382,21470,26831,41335,35532,20894
Mar-21,441469,154299,129886,63724,75158,26756,33559,29645,24724,23497
Mar-22,354901,152639,90614,58554,42290,21445,32903,19890,28817,19469
Mar-23,365171,150039,86907,60519,34993,22605,27111,13246,21824,19477
Mar-24,378246,128985,92390,52642,71374,74016,22839,14678,21340,21252
Mar-25,300836,107139,87159,46978,39652,48807,14635,11427,25797,18191
Mar-26,302722,122438,90307,52222,36954,27251,13765,18421,25072,17950
Mar-27,264670,102675,66282,50696,24884,19060,14823,12316,22009,14548
Mar-28,247070,104857,59784,46106,24725,15008,15133,8133,16189,15227
Mar-29,210182,96936,38595,32764,33059,14744,13693,7087,15840,11680
Mar-30,214149,87750,41001,36495,37473,12496,14522,8406,14893,10376
Mar-31,228213,84132,42320,43196,33700,12380,14350,12319,16238,9237
Apr-1,203482,84775,45933,35142,28256,10397,23949,9479,13930,8712
Apr-2,224893,100343,73242,25151,29813,10818,19851,10545,16643,12102
Apr-3,361184,134395,95735,50450,52227,18744,39255,12978,22112,13133
Apr-4,276117,119897,107351,45313,41132,19438,51629,9157,22693,15894
Apr-5,278096,147126,86012,42734,52372,15880,47464,8827,21280,12272
Apr-6,244916,106015,68803,39256,31391,17193,23533,7250,17036,18345
Apr-7,230869,100302,73332,31902,19623,22881,15631,7106,19503,12230
Apr-8,244051,107600,62108,32967,19291,16168,27578,7241,17620,10271
Apr-9,228552,87312,74026,34543,15640,13864,17407,7359,24605,9859
Apr-10,221022,74175,54448,36266,23934,14681,25096,6817,13558,9248
Apr-11,211788,83555,38122,36268,22998,20453,17412,5809,29804,8974
Apr-12,214936,69846,42021,31769,20380,16182,13727,3769,15992,12569
Apr-13,240986,80615,46993,32918,18071,32458,11153,3510,18583,12425
Apr-14,211479,72731,34817,32622,26597,22655,11740,3800,13580,16324
Apr-15,192527,67726,34332,27803,25538,26572,14289,4327,12527,10001
Apr-16,169604,70870,29363,25879,15646,14523,11819,7155,9716,8783
Apr-17,169192,71854,28646,21752,19232,11769,29914,17843,12159,10346
Apr-18,190922,91515,34736,25772,26251,14041,23970,12392,14512,11193
