date,ukrain_pos,ukrain_neg,russia_pos,russia_neg,zelensky_pos,zelensky_neg,putin_pos,putin_neg
Mar-21,5.8360034311107585,-6.478301985801062,1.1223521703246684,-3.1347332553579834,3.0887863637252986,-5.258875674366368,1.2196099387949255,-5.3671705716908935
Mar-22,5.999733105828187,-5.780851078745183,1.2298962954713342,-3.5018541722517496,3.5300622828337938,-4.678249189935115,1.1665578505914769,-5.063683827586523
Mar-23,5.526424420197297,-6.547613091078969,1.3112200229730688,-3.590068019369782,3.6060487386632634,-4.731924761910906,1.339312702808194,-5.2310504263114765
Mar-24,6.001390300334744,-5.7644193427105614,1.252109828964643,-3.2742556648662027,3.793564265203893,-4.504381745419098,1.1704625346211033,-4.967423022882927
Mar-25,6.528710032192866,-5.727235476153991,1.2745568764246942,-3.47377042412763,3.407284577967081,-4.082782554677512,1.1644589121778413,-5.04820463390415
Mar-26,6.263603290052483,-5.449829236184561,1.1777195379196572,-3.101040198770587,3.1234076166393367,-4.161442494060831,1.4249209142885733,-5.889567963478467
Mar-27,6.075656132945196,-5.7541749629161565,1.2409843763142672,-3.3001080444934376,2.917423773350734,-4.615304807888958,1.3397536122031597,-5.870572352918102
Mar-28,5.6058328103688275,-6.154465167476232,1.4551939957187394,-4.1579495972382565,3.1828591170480576,-4.426738200490906,1.147619152721099,-5.4221287240586795
Mar-29,5.474580240653246,-6.634034582199935,1.5333012217679651,-4.2259707242992235,3.049343114539804,-4.195501046175214,1.1688350840008677,-4.913733318510354
Mar-30,5.037568747411898,-6.052037774738394,1.5762077868073745,-3.6422041656861066,3.1513700900310653,-4.147500966057283,1.2975616582079343,-5.251950768396774
Mar-31,4.905237236861547,-5.689032483126169,1.4874346240893614,-3.4318865287325213,3.0605011710766696,-3.925443005966404,1.8219338892089945,-5.26261691863721
Apr-1,7.292629254982443,-5.574490565392509,1.3454600893825588,-4.174216965007792,3.1691151190735947,-3.563472375240884,1.3619839275624628,-4.997862030434328
Apr-2,7.537410466139843,-6.263242480873459,1.2664283819405266,-4.350156047105097,2.9732069429340715,-3.855592924545524,0.9654620498601996,-5.055591045924352
Apr-3,4.474991754246129,-8.636669192533732,1.1567252782408708,-4.790699279412932,2.578449317469308,-4.4633648534819415,1.0063779334164389,-6.430925602811144
Apr-4,4.508748631319176,-8.373013553019929,1.0788580481798349,-4.753794904689215,3.1321297411919504,-5.243115912563492,1.085513630962286,-6.117812268339501
Apr-5,4.675493538711009,-7.6845712447426475,1.0566614848802267,-4.970226145877782,2.60828969542314,-5.971481852309094,1.1440473242553122,-5.920677055859174
Apr-6,6.126346583543911,-6.672911738521561,1.1227131971669717,-4.5159826474937805,2.7718504670973347,-4.858204553210359,1.0273015383044195,-5.288040060101263
Apr-7,5.8500510527595315,-6.072932440421492,1.4882856000908642,-5.081306487462157,2.7154906477189886,-3.9934351483874657,1.0934321116218928,-5.052368677612179
Apr-8,7.036872545356204,-6.4227150163648465,1.3097729148775694,-4.692968270057079,2.6940463003944535,-3.9139281793198033,1.0939621750734447,-5.1141605659316625
Apr-9,7.0190511390563985,-6.132576848618173,1.1765397871825087,-3.425651778069533,3.6770229236991674,-5.296082248352817,1.303925300666742,-5.129545755857723
Apr-10,6.77790283840486,-6.050730700945161,1.119144462924438,-3.229453755756046,3.196126668646857,-4.8065491621859735,1.1792589736043773,-5.604940955460159
Apr-11,5.808870413203188,-6.731401634147731,1.3789807268901018,-3.4897168163759464,3.166521241815495,-5.493772369441277,1.080392106386609,-4.9300175305244025
Apr-12,6.1059370674406335,-7.284132792064387,1.2463603467702369,-3.2944194792401404,3.754122399162976,-4.9414797090778775,1.198105671651178,-5.089145866810496
Apr-13,6.697553114012152,-6.187423833554642,1.3890092216493448,-3.5619730327836048,3.6587160104211,-4.479316149344808,1.485437652419641,-4.776357577548273
Apr-14,6.373595895234723,-6.053564250656563,1.3162771309387205,-3.9376325685276616,2.8745567178393565,-4.541416921384879,1.1729772009293828,-5.203087223609128
Apr-15,5.559707106421841,-6.265319769720513,1.2327631698785648,-4.32604369090689,2.8854055722173464,-3.9554673268804392,1.1307167404447744,-5.397333030887718
Apr-16,6.484778644200325,-6.535569424906285,1.2619069582437863,-4.488782176226269,3.3086657973462303,-3.791676538588856,1.2846092148058497,-4.92955573969008
Apr-17,7.807911200704584,-6.8457945849697355,2.4227473054529525,-3.8328630239233683,2.9030908795204033,-3.9879545810222186,1.2749907803384466,-4.942380300082723
Apr-18,6.958245662007536,-7.708707049444606,1.7148609674654631,-3.5441482377835714,2.979028289170342,-4.906007965888492,1.3252147868550663,-5.444030555236715
